requestday,pagetype,date,bucket,count
1406419200,Page2,1406419200,175.0,2
1406419200,Page2,1406419200,250.0,1
1406419200,Page2,1406419200,275.0,1
1406419200,Page2,1406419200,325.0,3
1406419200,Page2,1406419200,350.0,1
1406419200,Page2,1406419200,375.0,1
1406419200,Page2,1406419200,400.0,3
1406419200,Page2,1406419200,425.0,1
1406419200,Page2,1406419200,475.0,1
1406419200,Page2,1406419200,500.0,1
1406419200,Page2,1406419200,525.0,2
1406419200,Page2,1406419200,550.0,1
1406419200,Page2,1406419200,575.0,4
1406419200,Page2,1406419200,600.0,4
1406419200,Page2,1406419200,625.0,2
1406419200,Page2,1406419200,650.0,5
1406419200,Page2,1406419200,675.0,3
1406419200,Page2,1406419200,700.0,1
1406419200,Page2,1406419200,725.0,3
1406419200,Page2,1406419200,750.0,3
1406419200,Page2,1406419200,775.0,7
1406419200,Page2,1406419200,800.0,2
1406419200,Page2,1406419200,825.0,5
1406419200,Page2,1406419200,850.0,2
1406419200,Page2,1406419200,875.0,4
1406419200,Page2,1406419200,900.0,2
1406419200,Page2,1406419200,925.0,6
1406419200,Page2,1406419200,950.0,5
1406419200,Page2,1406419200,975.0,1
1406419200,Page2,1406419200,1000.0,3
1406419200,Page2,1406419200,1025.0,12
1406419200,Page2,1406419200,1050.0,3
1406419200,Page2,1406419200,1075.0,8
1406419200,Page2,1406419200,1100.0,7
1406419200,Page2,1406419200,1125.0,4
1406419200,Page2,1406419200,1150.0,3
1406419200,Page2,1406419200,1175.0,3
1406419200,Page2,1406419200,1200.0,2
1406419200,Page2,1406419200,1225.0,6
1406419200,Page2,1406419200,1250.0,8
1406419200,Page2,1406419200,1275.0,1
1406419200,Page2,1406419200,1300.0,2
1406419200,Page2,1406419200,1325.0,4
1406419200,Page2,1406419200,1350.0,7
1406419200,Page2,1406419200,1375.0,5
1406419200,Page2,1406419200,1400.0,2
1406419200,Page2,1406419200,1425.0,5
1406419200,Page2,1406419200,1450.0,4
1406419200,Page2,1406419200,1475.0,9
1406419200,Page2,1406419200,1500.0,2
1406419200,Page2,1406419200,1525.0,1
1406419200,Page2,1406419200,1550.0,4
1406419200,Page2,1406419200,1575.0,4
1406419200,Page2,1406419200,1600.0,3
1406419200,Page2,1406419200,1625.0,4
1406419200,Page2,1406419200,1650.0,5
1406419200,Page2,1406419200,1675.0,4
1406419200,Page2,1406419200,1700.0,3
1406419200,Page2,1406419200,1725.0,4
1406419200,Page2,1406419200,1750.0,4
1406419200,Page2,1406419200,1775.0,2
1406419200,Page2,1406419200,1800.0,3
1406419200,Page2,1406419200,1825.0,4
1406419200,Page2,1406419200,1850.0,6
1406419200,Page2,1406419200,1875.0,4
1406419200,Page2,1406419200,1900.0,2
1406419200,Page2,1406419200,1925.0,1
1406419200,Page2,1406419200,1950.0,2
1406419200,Page2,1406419200,1975.0,1
1406419200,Page2,1406419200,2000.0,1
1406419200,Page2,1406419200,2025.0,5
1406419200,Page2,1406419200,2050.0,4
1406419200,Page2,1406419200,2100.0,6
1406419200,Page2,1406419200,2125.0,3
1406419200,Page2,1406419200,2150.0,1
1406419200,Page2,1406419200,2175.0,2
1406419200,Page2,1406419200,2200.0,5
1406419200,Page2,1406419200,2225.0,3
1406419200,Page2,1406419200,2250.0,2
1406419200,Page2,1406419200,2275.0,4
1406419200,Page2,1406419200,2300.0,1
1406419200,Page2,1406419200,2325.0,1
1406419200,Page2,1406419200,2350.0,1
1406419200,Page2,1406419200,2375.0,3
1406419200,Page2,1406419200,2400.0,2
1406419200,Page2,1406419200,2450.0,1
1406419200,Page2,1406419200,2475.0,4
1406419200,Page2,1406419200,2500.0,2
1406419200,Page2,1406419200,2525.0,1
1406419200,Page2,1406419200,2550.0,7
1406419200,Page2,1406419200,2575.0,2
1406419200,Page2,1406419200,2600.0,1
1406419200,Page2,1406419200,2650.0,1
1406419200,Page2,1406419200,2675.0,2
1406419200,Page2,1406419200,2725.0,3
1406419200,Page2,1406419200,2750.0,1
1406419200,Page2,1406419200,2775.0,4
1406419200,Page2,1406419200,2800.0,3
1406419200,Page2,1406419200,2825.0,3
1406419200,Page2,1406419200,2850.0,2
1406419200,Page2,1406419200,2875.0,3
1406419200,Page2,1406419200,2900.0,2
1406419200,Page2,1406419200,2925.0,2
1406419200,Page2,1406419200,2950.0,1
1406419200,Page2,1406419200,2975.0,4
1406419200,Page2,1406419200,3000.0,2
1406419200,Page2,1406419200,3025.0,1
1406419200,Page2,1406419200,3075.0,2
1406419200,Page2,1406419200,3100.0,3
1406419200,Page2,1406419200,3125.0,2
1406419200,Page2,1406419200,3150.0,2
1406419200,Page2,1406419200,3250.0,3
1406419200,Page2,1406419200,3300.0,3
1406419200,Page2,1406419200,3375.0,1
1406419200,Page2,1406419200,3450.0,2
1406419200,Page2,1406419200,3475.0,1
1406419200,Page2,1406419200,3525.0,4
1406419200,Page2,1406419200,3550.0,2
1406419200,Page2,1406419200,3575.0,2
1406419200,Page2,1406419200,3600.0,3
1406419200,Page2,1406419200,3650.0,1
1406419200,Page2,1406419200,3675.0,2
1406419200,Page2,1406419200,3700.0,1
1406419200,Page2,1406419200,3750.0,2
1406419200,Page2,1406419200,3775.0,2
1406419200,Page2,1406419200,3875.0,1
1406419200,Page2,1406419200,4075.0,3
1406419200,Page2,1406419200,4175.0,1
1406419200,Page2,1406419200,4200.0,4
1406419200,Page2,1406419200,4225.0,2
1406419200,Page2,1406419200,4375.0,1
1406419200,Page2,1406419200,4425.0,1
1406419200,Page2,1406419200,4525.0,3
1406419200,Page2,1406419200,4575.0,1
1406419200,Page2,1406419200,4600.0,3
1406419200,Page2,1406419200,4700.0,2
1406419200,Page2,1406419200,4800.0,2
1406419200,Page2,1406419200,4900.0,2
1406419200,Page2,1406419200,5000.0,3
1406419200,Page2,1406419200,5050.0,1
1406419200,Page2,1406419200,5125.0,1
1406419200,Page2,1406419200,5150.0,1
1406419200,Page2,1406419200,5175.0,1
1406419200,Page2,1406419200,5325.0,1
1406419200,Page2,1406419200,5375.0,2
1406419200,Page2,1406419200,5475.0,1
1406419200,Page2,1406419200,5525.0,1
1406419200,Page2,1406419200,5550.0,1
1406419200,Page2,1406419200,5600.0,1
1406419200,Page2,1406419200,5650.0,1
1406419200,Page2,1406419200,5750.0,1
1406419200,Page2,1406419200,5900.0,1
1406419200,Page2,1406419200,5925.0,1
1406419200,Page2,1406419200,6050.0,2
1406419200,Page2,1406419200,6125.0,1
1406419200,Page2,1406419200,6150.0,1
1406419200,Page2,1406419200,6250.0,3
1406419200,Page2,1406419200,6325.0,3
1406419200,Page2,1406419200,6500.0,1
1406419200,Page2,1406419200,6550.0,1
1406419200,Page2,1406419200,6825.0,1
1406419200,Page2,1406419200,6850.0,1
1406419200,Page2,1406419200,6925.0,1
1406419200,Page2,1406419200,7300.0,1
1406419200,Page2,1406419200,7775.0,1
1406419200,Page2,1406419200,8100.0,1
